,ring_metal,Overall Condition,Gemstone Weights (carats),Ring Price (usd),Ring Gross Weight (grams),Ring Size,Diamond Average Color,Diamond Average Clarity,Diamond Shapes,Gems Shapes,Gem Average Clarity,Gem Type
161,"Yellow Sapphire, Diamond, Platinum, Gold ", Very Good,[22.28  2.15],2375000.0,10.9,6.0, G-H-I, SI,[' Cut-cornered triangle'],[' Oval'],,[' Natural Corundum']
162,"Diamond, Platinum ", Very Good,[5.37 0.55],2375000.0,5.0,8.0, J-K-L, SI,"[' Round Brilliant-cut, Tapered Baguette-cut', ' Round Brilliant']",[],,[]
163,"Ruby, Diamond, Amethyst, Gold ", Good,[6.46 4.73 1.05],2375000.0,14.5,6.0, G-H-I, VS,[' Full-cut'],"[' Cabochon, Square-shaped Cabochon, Carved']",,"[' Ruby, Amethyst']"
164,"Diamond, Platinum ", Very Good,[5.37 0.35],2375000.0,6.71,6.0, G-H-I, VS,"[' Emerald-cut, Baguette-cut']",[],,[]
165,"Edwardian Fancy Light Brownish Yellow Diamond, Diamond, Platinum ", Very Good,[5.36 0.4 ],2375000.0,6.5,5.0, G-H-I, VS,"[' Old Mine Brilliant-cut, European-cut']",[],,[]
166,"Paraiba Tourmaline, Diamond, Platinum ", Very Good,[8.83 3.  ],2375000.0,21.42,6.0, G-H-I, VS,[' Full-cut'],[],,[]
167,"Edwardian Diamond, Platinum ", Very Good,[3.25 0.25],2312500.0,6.2,, G-H-I, VS,"[' European-cut, Single-cut']",[],,[]
168,"Diamond, Gold ", Very Good,[5.26 0.8 ],2312500.0,9.57,6.0, M+, SI,"[' Round Brilliant-cut, Radiant-cut']",[],,[]
169,"Diamond, Platinum ", Very Good,[4.02 0.6 ],2312500.0,9.77,, M+, VS,"[' Round Brilliant-cut, Full-cut']",[],,[]
170,"Irradiated Greenish-Yellow Diamond, Diamond, Platinum ", Excellent,[5.76 1.  ],2270500.0,6.9,6.0, G-H-I, SI,"[' Round Brilliant-cut, Pear-cut']",[],,[]
171,"Diamond, Platinum, Gold ", Very Good,[1.8  0.25 2.05],2270500.0,3.65,5.0, D-E-F, VVS,"[' Oval-shaped, Pear-shaped']",[],,[]
172,"Colored Diamond, Diamond, Gold, Platinum ", Very Good,[3.38 0.68 3.38],2270500.0,7.2,6.0, D-E-F, VS,[],[],,[]
173,"Diamond, Platinum ",,[],2270500.0,8.8,5.0,,,[],[],,[]
174,"Diamond, Platinum ", Good,[3.93 0.3 ],2250000.0,5.8,5.0, G-H-I, VS,"[' Tapered Baguette-cut', ' Marquise']",[],,[]
175,"Diamond, Platinum ", Good,[3.32 0.85],2250000.0,10.4,7.0, G-H-I, SI,"[' European, Full', ' Round Brilliant']",[],,[]
176,"Diamond, Platinum ", Very Good,[5.72 3.5  0.7 ],2250000.0,18.9,5.0, G-H-I, VS,"[' Full-cut, Baguette-cut', ' Marquise']",[],,[]
177,"Diamond, Sapphire, Platinum ", Very Good,[3.08 0.35],2250000.0,5.7,7.0, G-H-I, VS,"[' European, single-cut', ' Cushion Brilliant']",[' French-cut'],,[' Sapphire']
178,"Diamond, Platinum ", Very Good,[2.08 0.15],2250000.0,5.4,5.0, G-H-I, SI,"[' Baguette-cut', ' Pear']",[],,[]
179,"Ceylon Yellow Sapphire, Diamond, White Gold ", Very Good,[13.51  1.19],2250000.0,11.8,6.0, G-H-I, SI,[' full-cut'],[' Cushion'],,[' Yellow Sapphire']
180,"Art Deco Diamond, Platinum ", Good,[5.5 0.5],2250000.0,9.0,6.0, G-H-I, I,"[' European-cut, Single-cut']",[],,[]
181,"Sapphire, Diamond, Platinum ", Very Good,[7.7 2.4],2250000.0,10.0,, G-H-I, VS,[' Oval-shaped'],[' Oval-shaped'],,[' Sapphire']
182,"Diamond, Platinum, Gold ", Very Good,[3.43 0.5 ],2250000.0,5.0,6.0, J-K-L, VS,"[' Round Brilliant-cut, Full-cut']",[],,[]
183,"Diamond, Platinum ", Very Good,[2.6  0.65],2250000.0,7.09,6.0, D-E-F, VS,"[' Emerald-cut, Baguette-cut']",[],,[]
184,"Gentleman's Alexandrite, Colored Diamond, Diamond, Platinum ", Very Good,[2.9 4. ],2250000.0,38.32,12.0, G-H-I, SI,[' Full-cut'],[],,[]
185,"Diamond, Platinum ", Very Good,[4.41 0.3 ],2250000.0,7.88,5.0, J-K-L, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
186,"Sapphire, Diamond, Platinum, Gold ", Very Good,[17.53  1.9 ],2250000.0,14.37,6.0, G-H-I, VS,[' Full-cut'],[' Cushion-shaped'],,[' Sapphire']
187,"Jack Kelége Burma Ruby, Diamond, Platinum ", Very Good,[],2250000.0,,, G-H-I, SI,"[' Half-moon, Full-cut']",[],,[]
188,"Diamond, Gold ", Very Good,[3.37],2250000.0,3.96,6.0, J-K-L, VS,[' Square Emerald-cut'],[],,[]
189,"Gentleman's Spinel, Gold ", Very Good,[15.31],2250000.0,18.83,9.0,,,[],[],,[]
190,"Diamond, Platinum ", Good,[3.7 0.3 4. ],2250000.0,5.3,6.0, M+, VS,"[' European-cut, Baguette-cut']",[],,[]
191,"Diamond, Platinum ", Very Good,[2.28 1.  ],2187500.0,6.3,6.0, D-E-F, VVS,"[' Emerald-cut', ' Emerald-cut']",[],,[]
192,"Diamond, Platinum ", Very Good,[4.06 1.4  5.96],2187500.0,13.45,6.0, M+, VS,"[' Emerald-cut, Baguette-cut, Tapered Baguette-cut']",[],,[]
193,"Diamond, White Gold ", Very Good,[3.75 2.9  1.6  8.25],2151000.0,9.41,8.0, J-K-L, SI,"[' Pear-cut, Full-cut, Tapered Baguette-cut']",[],,[]
194,"Fancy Yellow Diamond, Diamond, Platinum, Gold ", Excellent,[3.01 0.82],2151000.0,8.55,6.0, G-H-I, SI,"[' Oval Modified Brilliant-cut, Full-cut']",[],,[]
195,"Diamond, Gold ",,[],2151000.0,4.5,,,,"[' round, not well cut (European)']",[],,[]
196,"Burma Ruby, Diamond, Gold ", Very Good,[2.74 1.2 ],2150000.0,4.7,7.0, G-H-I, VS,"[' Full-cut, Tapered Bgauette-cut']","[' Oval-shaped', ' Oval-shaped', ' Oval-shaped']",,"[' Ruby', ' Corundum', ' Corundum']"
197,"Art Deco Diamond, Platinum ", Very Good,[4.55 0.9 ],2125000.0,9.2,7.0, J-K-L, SI,"[' European-cut', ' Circular Brilliant']",[],,[]
198,"Diamond, Platinum ", Very Good,[2.77 0.55],2125000.0,12.0,7.0, G-H-I, VS,"[' Baguette-cut', ' Marquise']",[],,[]
199,"Emerald, Diamond, Amethyst, Gold ", Good,[5.22 2.11 1.03],2125000.0,14.4,6.0, G-H-I, VS,[' Full-cut'],"[' Cabochon, Square-shaped Cabochon, Carved']",,"[' Emerald, Amethyst']"
200,"Diamond, White Gold ", Very Good,[4.6],2125000.0,3.4,5.0, M+, SI,[' Round Brilliant-cut'],[],,[]
201,"Diamond, Gold ", Very Good,[3.26],2125000.0,6.5,5.0, D-E-F, SI,[' Marquise-cut'],[],,[]
202,"Emerald, Diamond, Platinum ", Very Good,[4.   0.95],2125000.0,12.3,6.0, G-H-I, SI,[' Baguette-cut'],[' Emerald-cut'], Good,[' Emerald']
203,"Diamond, Platinum ", Very Good,[5.  0.4],2125000.0,6.58,6.0, M+, SI,"[' Marquise-cut, Tapered Baguette-cut']",[],,[]
204,"Tsavorite Garnet, Diamond, Gold ", Very Good,[2.35 0.3 ],1000.0,9.9,4.0, G-H-I, SI,[' Full-Cut'],[' Square'],,[' Tsavorite Garnet']
205,"Sapphire, Diamond, Platinum ", Excellent,[15.67  0.9 ],2125000.0,10.4,5.0, G-H-I, VS,[' Full-cut'],[],,[]
206,"Diamond, White Gold ", Very Good,[3.38 1.65],2062500.0,7.4,6.0, J-K-L, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
207,"Fancy Light Yellow Diamond, Diamond, Gold ", Very Good,[4.63 1.35],2062500.0,20.7,9.0, G-H-I, SI,"[' tapered baguette, full-cut', ' cut-cornered square mixed-cut']",[],,[]
208,"Diamond, Platinum, White Gold ", Very Good,[3.58 0.3 ],2062500.0,5.1,, M+, VVS,"[' Round Brilliant-cut, Baguette-cut']",[],,[]
209,"Diamond, White Gold ", Very Good,[1.98],2062500.0,2.85,5.0, G-H-I, SI,[' Round Brilliant-cut'],[],,[]
210,"Gentleman's Diamond, Gold ", Very Good,[3.   0.45],2031500.0,8.4,7.0, D-E-F, VS,"[' Cut Cornered Rectangular- Modified Brilliant, European-cut, Full-cut']",[],,[]
211,"Diamond, Gold ", Excellent,[3.7  1.05 1.05 5.8 ],2031500.0,14.8,6.0, M+, VVS,"[' Round brilliant-cut, Full-cut, Baguette-cut']",[],,[]
212,"Diamond, Platinum ", Very Good,[3.73 1.12 4.85],2031500.0,7.2,4.0, J-K-L, VS,"[' Emerald-cut, Trillion-cut']",[],,[]
213,"Diamond, Platinum, White Gold ", Very Good,[5.  0.8 5.8],2031500.0,6.0,, M+, VS,"[' Round Brilliant-cut, Baguette']",[],,[]
214,"Cat's-Eye Chrysoberyl, Diamond, Platinum ",,[],2031500.0,10.0,,,,[' marquise'],[],,[]
215,"Diamond, Gold ", Very Good,[4.53 0.6 ],2000000.0,8.1,6.0, J-K-L, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
216,"Diamond, Platinum ", Very Good,[2.36 0.55],2000000.0,5.2,7.0, G-H-I, VS,"[' tapered baguette', ' Emerald Cut']",[],,[]
217,"Diamond, Platinum ", Very Good,[5.01 3.65 0.2 ],2000000.0,20.4,8.0, G-H-I, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
218,"Colombian Emerald, Diamond, Gold ", Very Good,[6.27 0.8 ],2000000.0,7.9,5.0, G-H-I, SI,[' Triangle-shaped'],[' Square Emerald-cut'],,[' Natural Beryl']
219,"Diamond, Platinum ", Very Good,[5.01 2.15],2000000.0,11.8,, G-H-I, SI,"[' Baguette-cut', ' Emerald-cut']",[],,[]
220,"Gentleman's Diamond, Gold ", Very Good,[6.19 1.5 ],2000000.0,34.8,9.0, G-H-I, VS,"[' full-cut', ' Cut cornered square modified brilliant']",[],,[]
221,"Sapphire, Diamond, Platinum ", Very Good,[6.88 1.56],2000000.0,7.6,5.0, G-H-I, VS,[' Half Moon-shaped'],[' Oval-shaped'],,[' Sapphire']
222,"Diamond, Platinum ", Very Good,[3.31 0.55],2000000.0,4.9,3.0, G-H-I, VS,"[' Baguette-cut', ' Pear']",[],,[]
223,"Fancy Yellow Diamond, Diamond, Gold ", Very Good,[2.91 1.2 ],2000000.0,5.0,6.0, G-H-I, SI,"[' Mine', ' Old mine']",[],,[]
224,"Art Deco Diamond, Emerald, Platinum ", Very Good,[4.   0.4  0.65],2000000.0,5.8,6.0, G-H-I, VS,"[' European-cut, Single-cut']",[' Calibré-cut'],,[' Emerald']
225,"Diamond, Synthetic Stone, 18k Gold ", Good,[],2000000.0,,,,,[],[],,[]
226,"Paraiba Tourmaline, Diamond, Gold ", Very Good,[24.  5.],2000000.0,24.2,7.0, G-H-I, VS,"[' Rose-cut, Pear-shaped Rose-cut']","[' Oval Cabochon', ' Oval Cabochon']",,"[' Tourmaline', ' Tourmaline']"
227,"Burma Sapphire, Diamond, White Gold ", Very Good,[10.57  1.85],2000000.0,10.2,6.0, G-H-I, VS,[' Full-cut'],"[' Oval-shaped', ' Oval']",,"[' Sapphire', ' Corundum']"
228,"Lavender Jadeite Jade, Diamond, Platinum ", Very Good,[18.46  1.5 ],2000000.0,12.26,6.0, G-H-I,,[' Full-cut'],[' Oval-shaped Cabochon'],,[' Jadeite Jade']
229,"Diamond, Platinum ", Very Good,[4.17],2000000.0,5.35,7.0, M+, VS,[' Round Brilliant'],[],,[]
230,"Burma Ruby, Diamond, Platinum, Gold ", Good,[4.35 1.4 ],2000000.0,7.0,6.0, J-K-L, SI,[' Full-cut'],[' Oval-shaped'], Good,[' Ruby']
231,"Diamond, Platinum ", Very Good,[3.74 0.2 ],2000000.0,4.15,6.0, J-K-L, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
232,"Emerald, South Sea Cultured Pearl, Diamond, Platinum, Gold ", Very Good,[11.5 16.   0.7],2000000.0,43.1,5.0, G-H-I, VS,"[' Full-cut, Baguette-cut']",[],,[]
233,"Oscar Heyman Bros. Ruby, Diamond, Gold ", Excellent,[],2000000.0,,6.0, D-E-F, VVS,[' Tapered Baguette-cut'],[' Mixed Oval-cut'], Good,[' Ruby']
234,"Natural Pearl, Diamond, Platinum-Topped Gold ", Very Good,[7.98],2000000.0,3.96,5.0, G-H-I, SI,"[' Single-cut', ' Button']",[],,[]
235,"Jadeite Jade, Diamond, Gold ", Good,[11.    3.25],2000000.0,14.7,, G-H-I, SI,[' Full-cut'],[],,[]
236,"Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ", Excellent,[2.38 0.63 0.65],2000000.0,7.45,7.0, G-H-I, VS,"[' Radiant-cut, Full-cut']",[],,[]
237,"Diamond, White Gold ", Very Good,[2.15 0.25],2000000.0,7.5,7.0, G-H-I, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
238,"Diamond, Platinum ", Good,[4.01 1.05],1937500.0,8.9,5.0, J-K-L, SI,"[' Triangular', ' Square Modified Brilliant']",[],,[]
239,"Diamond, Platinum ", Very Good,[2.02 0.51],1937500.0,8.17,5.0,,,"[' Marquise', ' Marquise', ' Marquise']",[],,[]
240,"Diamond, Platinum ", Very Good,[1.85],1937500.0,5.0,6.0,,,[' Round Brilliant'],[],,[]
241,"Diamond, Platinum, White Gold ", Very Good,[3.54 0.1  0.15],1937500.0,9.5,6.0, J-K-L, SI,"[' European-cut, Full-cut, Single-cut']",[],,[]
242,"Diamond, White Gold ", Very Good,[4.6],1912000.0,3.4,5.0, M+, SI,[' Round-Brilliant'],[],,[]
243,"Jadeite Jade, Diamond, Platinum ", Very Good,[14.26  4.75],1912000.0,19.3,7.0, G-H-I, VVS,[' full-cut'],[' Oval-shaped cabochon'], Fine,[' Jadeite Jade']
244,"Jadeite Jade, Diamond, White Gold ", Very Good,[10.77  1.9   0.7   2.62],1912000.0,13.0,6.0, G-H-I, VS,"[' Full-cut, Tapered Baguette-cut']",[' Oval-shaped cabochon'], Fine,[' Jadeite Jade']
245,"Gentleman's Diamond, White Gold ", Excellent,[3.36],1912000.0,12.74,9.0, G-H-I, SI,[' Brilliant-cut'],[],,[]
246,"Diamond, Platinum ", Very Good,[],1912000.0,12.4,7.0,,,"[' Baguette, Pear']",[],,[]
247,"Art Deco Diamond, Platinum ",,[],1900000.0,6.2,,,,[],[],,[]
248,"Fancy Vivid Yellow Diamond, Diamond, Platinum, White Gold ", Very Good,[1.21 0.58],1875000.0,3.81,5.0, D-E-F, VS,"[' Trapezoid', ' Emerald-cut']",[],,[]
249,"Gentleman's Diamond, Gold ", Good,[4.01 1.   1.7 ],1875000.0,13.8,10.0, J-K-L, SI,"[' Baguette, square brilliant', ' Rectangular Brilliant']",[],,[]
250,"Colombian Emerald, Diamond, White Gold ", Good,[7.28 0.6 ],1875000.0,7.1,, G-H-I, SI,[' Single'],"[' Rectangular Emerald Cut', ' Octagonal']",,"[' Natural Beryl, Emerald', ' Natural Beryl, Emerald']"
251,"Diamond, Platinum ", Good,[3.28 0.4 ],1875000.0,4.9,7.0, G-H-I, VS,"[' Baguette', ' Emerald-Cut']",[],,[]
252,"Diamond, Platinum ", Very Good,[3.02 0.5 ],1875000.0,16.0,6.0, G-H-I, VS,"[' Full-cut', ' Round Brilliant']",[],,[]
253,"Ceylon Sapphire, Diamond, Platinum ", Very Good,[10.83  1.24],1875000.0,9.4,6.0, G-H-I, SI,[' Half moon'],[' Cushion'],,[' Natural Sapphire']
254,"Black Opal, Diamond, Platinum ", Very Good,[9.55 2.5 ],1875000.0,13.8,6.0, G-H-I, SI,"[' Full, Baguette']",[' Oval'],,[' Black opal']
255,"Ceylon Fancy Sapphire, Diamond, Platinum ", Very Good,[10.35  3.25  1.75  1.15],1875000.0,17.1,7.0, G-H-I, VS,"[' Marquise, Pear, Full']",[' Oval'],,[' Natural Corundum']
256,"Ceylon Sapphire, Diamond, White Gold ", Very Good,[15.81  1.35],1875000.0,11.1,7.0, G-H-I, VS,[' Full-cut'],[' Oval'],,[' Natural Corundum']
257,"Gentleman's Cat's-Eye Chrysoberyl, Diamond, Platinum ", Very Good,[15.68  0.65],1875000.0,51.8,10.0, G-H-I, SI,[' triangular brilliant'],"[' cabochon', ' Cabochon']",,"["" Cat's-eye chrysoberyl"", "" Cat's-Eye Chrysoberyl""]"
258,"Diamond, Sapphire, Platinum ", Very Good,[3.42 2.   1.45],1875000.0,7.2,6.0,,,[' Oval Brilliant'],[' Oval'],,[' Sapphire']
259,"Diamond, Platinum ", Very Good,[3.03 0.8 ],1875000.0,9.0,5.0, G-H-I, VS,"[' baguette, tapered baguette', ' Emerald-cut']",[],,[]
260,"Art Deco Emerald, Diamond, Platinum ", Very Good,[0.35],1875000.0,6.4,5.0, G-H-I, VS,"[' Kite, Single-cut']",[' Carved'],,[' Emerald']
261,"Diamond, Gold ", Very Good,[4.03 0.8 ],1875000.0,7.7,7.0, G-H-I, VS,"[' Full-cut', ' Pear Modified Brilliant']",[],,[]
262,"Gentleman's Diamond, Gold ", Very Good,[3.05 1.  ],1875000.0,29.2,11.0, G-H-I, VS,[' full-cut'],[],,[]
263,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[7.3 0.7],1875000.0,6.9,, G-H-I, VS,[' Triangle-cut'],"[' Octagonal Step Cut', ' Square Emerald-cut']",,"[' Natural Beryl', ' Natural Beryl']"
264,"Very Light Pink Diamond, Diamond, Gold ", Very Good,[2.02 2.1 ],1875000.0,15.4,9.0, J-K-L, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
265,"Ceylon Sapphire, Diamond, Platinum ", Very Good,[10.17  0.75],1875000.0,11.1,7.0, G-H-I, VS,[' Full-cut'],[' Round'],,[' Natural Corundum']
266,"Burma Ruby, Diamond, Platinum, Gold ", Very Good,[17.2  1.1],1875000.0,13.52,, G-H-I, VS,"[' Baguette, Tapered-Baguette']",[' Cushion Cabochon'],,[' Natural Corundum']
267,"Fancy Deep Brownish Yellow Diamond, Colored Diamond, White Gold ", Very Good,[6.16 0.3 ],1875000.0,4.03,7.0,, SI,"[' Pear', ' Oval']",[],,[]
268,"Diamond, Platinum ", Very Good,[1.92 0.2  0.65],1875000.0,6.6,7.0, G-H-I, VVS,"[' Round Brilliant-cut, Tapered Baguette-cut, Single-cut', ' Round Brilliant']",[],,[]
269,"Diamond, White Gold ", Very Good,[3.95],1875000.0,4.17,7.0, M+, SI,"[' Round Brilliant-cut', ' Round Brilliant-cut']",[],,[]
270,"Ceylon Sapphire, Diamond, Gold ", Very Good,[25.6  0.8  0.7],1875000.0,17.6,7.0, G-H-I, VS,[' Tapered Baguette-cut'],"[' Cushion Modified Brilliant-cut, Round-cut', ' Cushion Modified Brilliant-cut']",,"[' Sapphire', ' Corundum']"
271,"Paraiba Tourmaline, Diamond, White Gold ", Very Good,[31.68  4.28],1875000.0,21.44,, G-H-I, VS,[' Full-cut'],[],,[]
272,"Ruby, Diamond, Platinum, Gold ", Very Good,[17.15  1.49],1875000.0,10.5,6.0, G-H-I, SI,[' Half-moon'],[' Sugarloaf Cabochon'], Good,[' Ruby']
273,"Colombian Emerald, Diamond, Gold ", Good,[9.9  1.75 2.  ],1875000.0,14.4,7.0, G-H-I, SI,"[' Full-cut, Baguette-cut']",[],,[]
274,"Diamond, Gold ", Very Good,[3.52 2.1 ],1875000.0,10.4,5.0, M+, SI,"[' European-cut, Baguette-cut, Full-cut']",[],,[]
275,"Diamond, Gold ", Very Good,[3.52 2.1 ],1875000.0,10.4,5.0, M+, SI,"[' European-cut, Baguette-cut, Full-cut']",[],,[]
276,"Diamond, Platinum ", Very Good,[3.53 0.3 ],1875000.0,5.86,6.0, J-K-L, VS,"[' Pear-shaped, Tapered Baguette-cut']",[],,[]
277,"Sapphire, Diamond, Platinum ", Very Good,[5.69 0.95],1875000.0,8.92,6.0, J-K-L, SI,[' Half-moon-shaped'],[' Oval'], Fine,[' Sapphire']
278,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[8.24],1875000.0,7.9,7.0, G-H-I, VS,[' European-cut'],[' Square-shaped'], Fine,[' Emerald']
279,"Ruby, Diamond, Platinum ", Very Good,[4.68 2.42],1875000.0,7.6,6.0, G-H-I, SI,[' Full-cut'],[' Oval-shaped'], Fine,[' Ruby']
280,"Diamond, Platinum ", Very Good,[2.56 3.56],1875000.0,6.4,, D-E-F, VVS,"[' Square Modified Brilliant-cut, Triangle-cut']",[],,[]
281,"Emerald, Diamond, White Gold ", Very Good,[],1875000.0,,7.0, G-H-I, VS,[' Marquise-shaped'],[],,[' Emerald']
282,"Sapphire, Diamond, White Gold ", Very Good,[7.75 2.  ],1875000.0,8.9,6.0, G-H-I, SI,[' Full-cut'],[' Square Cushion-cut'], Good,[' Sapphire']
283,"Diamond, Platinum ", Very Good,[2.06],1875000.0,6.3,4.0, D-E-F, VS,[' Square Emerald-cut'],[],,[]
284,"Paraiba Tourmaline, Diamond, White Gold ", Very Good,[31.68  4.28],1875000.0,21.44,, G-H-I, VS,[' Full-cut'],[],,[]
285,"Cartier Emerald, Diamond, Gold ", Very Good,[],1875000.0,,7.0, G-H-I, SI,[' Tapered Baguette-cut'],[' Pear-shaped'], Good,[' Emerald']
286,"Sapphire, Diamond, Gold ", Very Good,[13.  2.],1875000.0,12.48,7.0, G-H-I, VS,[' Full-cut'],[' Cushion-shaped'], Good,[' Sapphire']
287,"Sapphire, Diamond, White Gold ", Excellent,[11.15  2.61],1875000.0,12.43,6.0, G-H-I, VS,[' Full-cut'],[],,[]
288,"Emerald, Diamond, Platinum, Gold ", Very Good,[13.1  5. ],1852250.0,13.7,4.0, G-H-I, VS,"[' Full-cut, Pear-cut']",[' Rectangular-shaped'], Good,[' Emerald']
289,"Diamond, Platinum ", Good,[2.64 0.3 ],1812500.0,5.0,5.0, G-H-I, VS,"[' Tapered Baguette', ' Emerald-cut']",[],,[]
290,"Diamond, Platinum ", Very Good,[3.96],1812500.0,7.44,, J-K-L, VS,"[' Marquise, Baguette', ' Marquise']",[],,[]
291,"Diamond, Platinum ", Very Good,[2.65 1.2 ],1800000.0,10.0,5.0, G-H-I, VS,"[' Full-cut', ' Cut-Cornered Rectangular Modified Brilliant']",[],,[]
292,"Alexandrite, Diamond, White Gold ", Very Good,[12.27  0.85],1800000.0,14.3,, G-H-I, VS,[' Full-cut'],"[' Octagonal Modified Brilliant-cut', ' Octagonal Modified Brilliant-cut']",,"[' Alexandrite', ' Chrysoberyl']"
293,"Diamond, Platinum, Gold ",,[2.26 0.3 ],1800000.0,14.3,6.0, D-E-F, VS,"[' Round Brilliant-cut, Full-cut', ' Round Brilliant']",[],,[]
294,"Diamond, Platinum ", Very Good,[],1792500.0,17.2,7.0,,,[],[],,[]
295,"Art Deco Diamond, Platinum ",,[],1792500.0,6.2,5.0,,,[' Old European cut'],[],,[]
296,"Diamond, White Gold ", Good,[4.01 1.  ],1750000.0,6.9,8.0, J-K-L, VS,"[' Round, Square Brilliant', ' Round Brilliant']",[],,[]
297,"Art Deco Sapphire, Diamond, Platinum ", Very Good,[2.75 4.  ],1750000.0,7.4,7.0, J-K-L, VS,[' European'],[' Oval'],,[' Natural Corundum']
298,"Gentlemen's Diamond, Gold ", Good,[5.08 2.   0.5 ],1750000.0,44.6,8.0, J-K-L, SI,"[' Full-cut, Tapered Baguette', ' Round Brilliant']",[],,[]
299,"Burma Ruby, Diamond, Platinum, White Gold ", Very Good,[1.85 1.6  0.15],1750000.0,6.0,6.0, G-H-I, SI,"[' European, Baguette-cut']",[' Square Cushion'],,[' Natural Corundum']
300,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[1.95 1.1 ],1750000.0,5.3,6.0, G-H-I, VS,[' Triangle'],[],,[' Natural Emerald']
301,"Jadeite Jade, Diamond, Platinum ", Very Good,[2.45],1750000.0,14.1,7.0, G-H-I, VS,[' Baguette-cut'],[' Oval Double Cabochon'],,[' Jadeite Jade']
302,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[2.  1.1],1750000.0,5.3,6.0, G-H-I, VS,[' triangle'],[' Octagonal step-cut'],,[' Natural Emerald']
303,"Gentleman's Diamond, Platinum ", Very Good,[5.],1750000.0,33.0,6.0,,,[' Cut-Cornered Rectangular Modified Brilliant'],[],,[]
304,"Diamond, Gold ", Very Good,[2.51],1750000.0,6.4,7.0,,,[' Round'],[],,[]
305,"Diamond, Platinum ", Very Good,[3.01],1750000.0,6.2,5.0, D-E-F, SI,"[' Radiant', ' rectangular modified brilliant-cut']",[],,[]
306,"Diamond, Platinum ", Very Good,[1.5   1.468],1750000.0,8.6,5.0, D-E-F, VVS,"[' Round Brilliant-cut', ' Round Brilliant', ' Round Brilliant', ' Round Brilliant']",[],,[]
307,"Diamond, White Gold ", Very Good,[2.4  0.65],1750000.0,5.57,6.0, G-H-I, VS,"[' Full-cut, Baguette-cut', ' Pear']",[],,[]
308,"Diamond, Platinum ", Very Good,[2.58],1750000.0,4.47,7.0, D-E-F, VS,"[' Emerald-cut, Baguette-cut', ' Emerald-cut']",[],,[]
309,"Diamond, Platinum ", Very Good,[3.7 1. ],1750000.0,10.3,6.0, G-H-I, VS,"[' European-cut, Single-cut']",[],,[]
310,"Diamond, Platinum ", Very Good,[2.04 0.2 ],1750000.0,5.0,4.0, G-H-I, SI,"[' Emerald-cut, Half-Moon', ' Emerald-cut']",[],,[]
311,"Diamond, Platinum ", Very Good,[3.78 0.35],1750000.0,4.81,11.0, M+, VVS,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
312,"Diamond, White Gold ", Very Good,[3.01],1750000.0,3.3,6.0, J-K-L, VS,[' Round Brilliant-cut'],[],,[]
313,"Diamond, Platinum Eternity Band, Harry Winston",,[6.29],1750000.0,9.5,, D-E-F, VS,[' Round brilliant-cut'],[],,[]
314,"Alexandrite, Diamond, Platinum ", Very Good,[2.41 0.52],1750000.0,8.7,6.0, D-E-F, VVS,[' Tapered Baguette-cut'],[' Emerald-cut'], Fine,[' Alexandrite']
315,"Precision Set Diamond, Platinum ", Excellent,[],1750000.0,,5.0, D-E-F, VVS,[' Round Brilliant-cut'],[],,[]
316,"Diamond, Platinum ", Very Good,[2.25 0.85 0.75],1750000.0,9.2,6.0, J-K-L, VS,"[' Round Brilliant-cut, Full-cut, Baguette-cut']",[],,[]
317,"Sapphire, Diamond, White Gold ", Very Good,[7.64 1.7 ],1750000.0,10.93,6.0, G-H-I, SI,[' Full-cut'],[],,[]
318,"Art Deco Star Sapphire, Diamond, Platinum ", Good,[40.    0.5   0.85],1750000.0,16.9,6.0, G-H-I, SI,"[' Triangle-shaped, Full-cut, Baguette-cut, Tapered Baguette-cut']",[' Cabochon'], Good,[' Star Sapphire']
319,"Diamond, Platinum ", Very Good,[2.53 1.22  nan],1750000.0,15.09,5.0, G-H-I, VS,"[' Marquise-shaped, Baguette-cut, Full-cut']",[],,[]
320,"Diamond, Platinum, White Gold ", Very Good,[4.8 1.4 6.2],1750000.0,10.4,, G-H-I, VS,"[' Marquise-cut, Full-cut']",[],,[]
321,"Diamond, Gold ", Excellent,[3.05 0.75 3.8 ],1750000.0,8.0,6.0, M+, VS,"[' Round-Brilliant-cut, Full-cut']",[],,[]
322,"Ceylon Yellow Sapphire, Diamond, Platinum, Gold ", Very Good,[22.6   1.15  0.6 ],1700000.0,18.3,6.0, G-H-I, SI,"[' pear, full-cut']",[' Oval'],,[' Yellow Sapphire']
323,"Diamond, Gold Wedding ", Very Good,[2.51],1687500.0,58.62,,,,[' Round Brilliant'],[],,[]
